oil_name;oil_location;oil_density;oil_api;oil_temp;oil_visc;oil_res_dens;oil_res_perc;oil_vap_press
Oman;Oman;0.861;32.80;38.00;00008.90;0.992;58.18;0.363
Oman Export;Oman;0.843;36.30;15.00;00011.60;0.895;56.54;0.289
Oriente;Ecuador;0.881;29.20;38.00;00013.00;0.914;72.90;0.252
Parentis;North Sea;0.863;32.50;20.00;00009.90;0.909;61.35;0.360
Pembina;Canada;0.862;32.70;38.00;00005.20;0.912;58.10;0.362
Pennington;Nigeria;0.842;36.60;00.00;00004.94;0.901;50.67;0.347
Peruvian high cold;Peru;0.849;35.10;00.00;00006.67;0.892;63.97;0.383
Piper;UK (North Sea);0.850;35.00;00.00;00006.80;0.905;53.84;0.382
Poleng;Indonesia;0.810;43.20;38.00;00001.80;0.930;40.41;0.290
Putamayo;Colombia;0.850;35.00;38.00;00004.50;0.907;52.84;0.382
Qua Iboe;Nigeria;0.846;35.80;38.00;00003.40;0.910;46.57;0.331
Quatar (Duckhan);Quatar;0.821;40.90;27.00;00005.10;0.885;46.74;0.593
Quatar marine;Quatar;0.848;35.30;15.00;00009.40;0.918;53.00;0.393
Ragusa;North Sea;0.935;19.80;38.00;00277.00;0.953;85.18;0.250
Rainbow L & M;Alberta Canada;0.822;40.70;38.00;00003.80;0.887;45.82;0.339
Ratawi;Neutral zone;0.913;23.50;50.00;00044.00;0.950;69.45;0.209
Redwater;Canada;0.851;34.70;38.00;00006.20;0.905;55.03;0.380
Reforma;Mexico;0.860;33.00;38.00;00006.80;0.910;57.95;0.228
Rio Zulia;Colombia;0.823;40.40;38.00;00005.90;0.872;59.22;0.429
Rocky Mountain Sweet;USA;0.828;39.30;38.00;00004.00;0.888;49.73;0.420
Romashkinskaya;Kazakhstan;0.863;32.40;38.00;00007.40;0.912;59.16;0.290
Rostam;Iran;0.845;35.90;50.00;00003.10;0.900;54.35;0.390
Rumailla;Iraq;0.854;34.10;38.00;00006.50;0.906;57.03;0.374
Saharan blend;Algeria;0.799;45.50;20.00;00003.40;0.890;40.93;0.053
Salmon (Sassan);Iran;0.856;33.90;38.00;00005.60;0.909;56.10;0.373
Salt Pond;Ghana;0.838;37.40;00.00;00004.21;0.892;55.18;0.403
San Joaquin Valley;USA;0.853;34.40;38.00;00005.20;0.908;53.91;0.377
Sarir;Libya;0.833;38.30;50.00;00004.70;0.893;58.95;0.411
Scurry Country;USA;0.816;42.00;38.00;00002.10;0.885;42.59;0.443
Seeligson;USA;0.823;40.50;15.00;00003.30;0.896;38.83;0.152
